fecha;kgs_netos
2021-05-31;141320
2021-05-31;224260
2021-05-31;259739
2021-05-30;3660423
2021-05-30;6680248
2021-05-30;1353893
2021-05-28;192300
2021-05-28;179888
2021-05-28;178074
2021-05-28;173635
2021-05-28;56781
2021-05-28;381700
2021-05-28;134180
2021-05-28;60179
2021-05-28;659153
2021-05-28;238515
2021-05-28;322380
2021-05-28;245280
2021-05-28;120640
2021-05-28;125809
2021-05-28;120800
2021-05-28;30500
2021-05-26;234540
2021-05-26;200300
2021-05-26;28540
2021-05-26;172140
2021-05-26;207907
2021-05-26;169700
2021-05-26;30500
2021-05-19;83558
2021-05-19;296660
2021-05-19;389360
2021-05-19;147680
2021-05-19;85552
2021-05-17;86520
2021-05-17;470120
2021-05-17;86078
2021-05-17;56540
2021-05-14;208400
2021-05-14;225893
2021-05-14;198040
2021-05-14;235940
2021-05-14;87740
2021-05-12;85289
2021-05-12;86130
2021-05-12;176280
2021-05-12;205360
2021-05-12;567590
2021-05-11;197220
2021-05-10;413630
2021-05-07;130820
2021-05-07;211980
2021-05-07;446270
2021-05-07;517540
2021-05-07;492810
2021-05-07;499510
2021-05-05;52806
2021-05-05;207380
2021-05-05;171000
2021-05-05;84280
2021-05-05;136538
2021-05-05;294880
2021-04-30;107353
2021-04-30;107509
2021-04-30;115358
2021-04-28;225844
2021-04-28;190000
2021-04-28;172040
2021-04-28;192560
2021-04-28;180315
2021-04-28;1486540
2021-04-28;182940
2021-04-28;303640
2021-04-28;199260
2021-04-28;316858
2021-04-28;28260
2021-04-23;28280
2021-04-23;31820
2021-04-23;30960
2021-04-23;267221
2021-04-23;60640
2021-04-21;637848
2021-04-21;452170
2021-04-21;455315
2021-04-21;30280
2021-04-21;60760
2021-04-21;463980
2021-04-21;460717
2021-04-16;644036
2021-04-16;454880
2021-04-16;457420
2021-04-16;459280
2021-04-16;462460
2021-04-16;451004
2021-04-16;462520
2021-04-12;124380
2021-04-12;175404
2021-04-09;132940
2021-04-09;428320
2021-04-09;647273
2021-04-09;301101
2021-04-07;644419
2021-04-07;284040
2021-04-07;647062
2021-04-05;188672
2021-04-05;195780
2021-04-05;327330
2021-04-05;399860
2021-04-05;321431
2021-04-01;460871
2021-04-01;448620
2021-04-01;426712
2021-03-29;499370
2021-03-29;120580
2021-03-26;311440
2021-03-26;470380
2021-03-26;599460
2021-03-26;515520
2021-03-26;494063
2021-03-26;113600
2021-03-26;183000
2021-03-26;799875
2021-03-26;35400
2021-03-26;506580
2021-03-26;152840
2021-03-26;202760
2021-03-22;658537
2021-03-22;121360
2021-03-22;946200
2021-03-22;160823
2021-03-22;519340
2021-03-19;188020
2021-03-19;507240
2021-03-19;1006720
2021-03-19;500440
2021-03-19;298140
2021-03-17;505440
2021-03-17;178885
2021-03-17;68920
2021-03-17;299360
2021-03-17;301720
2021-03-15;294180
2021-03-15;50160
2021-03-12;143360
2021-03-12;261440
2021-03-12;30840
2021-03-12;333380
2021-03-12;450320
2021-03-10;335160
2021-03-10;254200
2021-03-10;183917
2021-03-10;467447
2021-03-09;12187
2021-03-09;76434
2021-03-09;117860
2021-03-08;506946
2021-03-05;119620
2021-03-05;178218
2021-03-05;245440
2021-03-05;493749
2021-03-03;295035
2021-03-03;184720
2021-02-26;460643
2021-02-26;185340
2021-02-26;296540
2021-02-24;661887
2021-02-22;886940
2021-02-22;501933
2021-02-19;507300
2021-02-19;491200
2021-02-19;509806
2021-02-12;201260
2021-02-12;447540
2021-02-10;65960
2021-02-10;189620
2021-02-10;504940
2021-02-08;508116
2021-02-08;501720
2021-02-05;286515
2021-02-05;188020
2021-02-03;268019
2021-02-02;211055
2021-02-01;355463
2021-01-29;665000
2021-01-29;125180
2021-01-29;439040
2021-01-29;452691
2021-01-29;126715
2021-01-27;29400
2021-01-27;91304
2021-01-27;183920
2021-01-26;234060
2021-01-25;96120
2021-01-25;252220
2021-01-25;155868
2021-01-22;208680
2021-01-22;29500
2021-01-22;89700
2021-01-22;35440
2021-01-20;3007378
2021-01-20;434832
2021-01-20;197260
2021-01-18;31292
2021-01-18;178183
2021-01-18;267267
2021-01-15;176360
2021-01-15;458817
2021-01-15;193840
2021-01-13;465282
2021-01-13;60580
2021-01-08;147280
2021-01-08;458945
2021-01-06;64906
2021-01-06;439820
2021-01-06;181400
2021-01-06;305200
2021-01-04;172420
2021-01-04;388800
2020-12-30;167500
2020-12-29;177840
2020-12-23;444820
2020-12-23;459767
2020-12-23;450535
2020-12-21;445642
2020-12-21;446994
2020-12-18;454347
2020-12-18;452400
2020-12-16;169460
2020-12-14;442114
2020-12-14;186568
2020-12-11;119307
2020-12-11;186602
2020-12-11;331551
2020-12-09;332045
2020-12-09;185760
2020-12-09;448446
2020-12-09;58640
2020-12-09;29800
2020-12-09;59300
2020-12-09;179100
2020-12-04;142231
2020-12-04;124120
2020-12-04;311299
2020-12-04;3050540
2020-12-04;3052340
2020-12-02;183258
2020-11-30;77181
2020-11-30;212163
2020-11-30;203246
2020-11-27;512460
2020-11-27;183520
2020-11-25;257380
2020-11-25;460320
2020-11-20;1056053
2020-11-20;567000
2020-11-18;235401
2020-11-13;461480
2020-11-09;291599
2020-11-09;476520
2020-11-09;82740
2020-11-06;98924
2020-11-06;196216
2020-11-06;203283
2020-11-06;38720
2020-11-06;561917
2020-11-06;609981
2020-11-06;346790
2020-11-06;170200
2020-11-04;195128
2020-11-04;294404
2020-11-04;58940
2020-11-04;199220
2020-11-04;276800
2020-11-02;343480
2020-10-30;89405
2020-10-30;52796
2020-10-30;227548
2020-10-30;308680
2020-10-28;449700
2020-10-28;455620
2020-10-28;496132
2020-10-26;200000
2020-10-26;189987
2020-10-23;452300
2020-10-23;306640
2020-10-21;58800
2020-10-21;145400
2020-10-21;188447
2020-10-19;306800
2020-10-19;470212
2020-10-14;149540
2020-10-13;67180
2020-10-13;189420
2020-10-13;514970
2020-10-07;174120
2020-10-07;134720
2020-10-07;179920
2020-10-07;29960
2020-10-05;180340
2020-10-05;29900
2020-10-02;299140
2020-10-02;272302
2020-10-02;116040
2020-10-02;203000
2020-10-02;497380
2020-10-02;391240
2020-09-28;457300
2020-09-25;306980
2020-09-23;58200
2020-09-23;202600
2020-09-23;59252
2020-09-23;299540
2020-09-21;438871
2020-09-21;59980
2020-09-18;95440
2020-09-16;1503420
2020-09-16;506020
2020-09-11;30460
2020-09-11;422260
2020-09-11;85380
2020-09-11;28740
2020-09-11;1000560
2020-09-09;297940
2020-09-09;87160
2020-09-07;174240
2020-09-07;986740
2020-09-07;248480
2020-09-07;58080
2020-09-07;192779
2020-09-07;27621
